gadget_name_original,gadget_name_english,first_appearance_episode,function,used_by,main_user,category,success_rate,failure_rate,is_recurring,notes
どこでもドア,Anywhere Door,1,Teleports users to any location instantly,"Nobita, Doraemon, friends",Nobita,Transportation,95,5,Yes,Most iconic; rarely fails unless misused
タケコプター,Hopter,2,Propeller for personal flight,"Nobita, Gian, Suneo",Nobita,Transportation,70,30,Yes,Fails due to low battery or clumsiness
タイムマシン,Time Machine,5,Travels through time,"Nobita, Doraemon",Nobita,Time Travel,90,10,Yes,Kept in Nobita's desk drawer
暗記パン,Memory Bread,10,Absorbs text when pressed on book pages,Nobita,Nobita,Education,60,40,No,Often eaten before use
空気砲,Air Cannon,15,Shoots compressed air as a weapon,"Nobita, Gian",Gian,Weapon,85,15,Yes,Used against bullies
ほんやくコンニャク,Translation Gummy,20,Translates any language,"Nobita, Doraemon",Nobita,Daily Life,99,1,Yes,Highly reliable
タイムふろしき,Time Kerchief,25,Repairs or reverts objects when wrapped,Nobita,Nobita,Daily Life,80,20,Yes,Misuse ages/de-ages objects
通り抜けフープ,Pass Loop,30,Walk through walls,Nobita,Nobita,Daily Life,75,25,No,Gets stuck occasionally
ショックガン,Shock Gun,35,Forces target to obey commands,"Nobita, Gian",Nobita,Weapon,50,50,No,Often backfires
雲かためガス,Cloud Solidifier,40,Turns clouds into solid platforms,"Nobita, Suneo",Nobita,Transportation,65,35,No,Requires clear skies
スモールライト,Small Light,45,Shrinks objects/people,"Nobita, Doraemon",Nobita,Transformation,88,12,Yes,Used for stealth
ビッグライト,Big Light,50,Enlarges objects/people,Nobita,Nobita,Transformation,85,15,Yes,Causes chaos if misused
タイムテレビ,Time TV,55,Watches past/future events,Nobita,Nobita,Time Travel,95,5,Yes,Rarely fails
人間よけスプレー,Human Repellent Spray,60,Makes user invisible to people,Nobita,Nobita,Stealth,70,30,No,Wears off quickly
ガリバートンネル,Gulliver Tunnel,65,Shrinks/grows objects passing through,Nobita,Nobita,Transformation,80,20,Yes,Used for mini-adventures
コベヤッター,Come Here Catcher,70,Teleports objects to user,Nobita,Nobita,Daily Life,75,25,No,Misses target sometimes
立体映像ミラー,3D Projector Mirror,75,Creates lifelike holograms,"Suneo, Nobita",Suneo,Entertainment,90,10,No,Used for pranks
サウンドカメラ,Sound Camera,80,Captures and replays sounds,Nobita,Nobita,Daily Life,65,35,No,Limited recordings
ネコジャラシ,Cat Caller,85,Summons cats with a whistle,Doraemon,Doraemon,Animal,100,0,No,Only works on cats
スーパー手ぶくろ,Super Gloves,90,Grants super strength,"Gian, Nobita",Gian,Power,95,5,Yes,Often used for bullying
エアカー,Air Car,95,Flying car powered by air,"Nobita, Doraemon",Nobita,Transportation,60,40,No,Crashes often
四次元ポケット,4D Pocket,-,Stores infinite gadgets,Doraemon,Doraemon,Special,100,0,Yes,Pocket dimension
ひみつ道具製造機,Gadget Maker,100,Creates custom gadgets,Doraemon,Doraemon,Special,30,70,No,Often produces defective gadgets
のび太のパパも使った,Nobita's Dad's Used Gadget,105,Random old gadgets,Nobita's Dad,Nobita,Vintage,40,60,No,Unreliable
悪魔のパスポート,Devil's Passport,110,Grants unlimited wishes,Nobita,Nobita,Power,20,80,No,Causes unintended consequences
ジャイアンズスーパーよびよせ,Gian's Super Summoner,115,Summons Gian forcibly,Gian,Gian,Weapon,100,0,No,Used for intimidation
サバイバルフーズ,Survival Food,120,Tiny food that expands,Nobita,Nobita,Survival,95,5,Yes,Used in emergencies
トキメキメーター,Excitement Meter,125,Measures excitement level,"Shizuka, Nobita",Shizuka,Daily Life,80,20,No,For fun
オールシーズンエアコン,All-Season AC,130,Controls weather locally,Nobita,Nobita,Daily Life,90,10,No,Causes climate chaos
ロボットペット,Robot Pet,135,Customizable robot pet,Nobita,Nobita,Entertainment,70,30,No,Malfunctions comically
ウソ800,Lie Detector,140,Detects lies,"Nobita, Shizuka",Shizuka,Daily Life,99,1,No,Highly accurate
ハッピーメモリーズ,Happy Memories,145,Relives happy memories,Nobita,Nobita,Emotional,100,0,No,Therapeutic
ドラミのミニドア,Dorami's Mini-Door,150,Smaller Anywhere Door,Dorami,Dorami,Transportation,95,5,Yes,For short distances
悪用サイコキネシス,Misuse Psychokinesis,155,Moves objects with mind,Nobita,Nobita,Power,50,50,No,Hard to control
タイムカプセル,Time Capsule,160,Sends objects to future,Nobita,Nobita,Time Travel,85,15,No,Rarely used
フエルミラー,Clone Mirror,165,Creates duplicates,Nobita,Nobita,Transformation,75,25,No,Clones misbehave
サンタクロースセット,Santa Set,170,Becomes Santa,Nobita,Nobita,Festive,60,40,No,Seasonal gadget
ペットなりきりキャップ,Pet Impersonator Cap,175,Talk to animals,Nobita,Nobita,Animal,80,20,No,Short-lived
ドラえもんの鈴,Doraemon's Bell,1,Summons Doraemon,Nobita,Nobita,Special,100,0,Yes,Last resort
もしもボックス,What-If Box,180,Simulates alternate realities,Nobita,Nobita,Fantasy,40,60,No,Dangerous if misused
オールマイティーパス,Almighty Pass,185,Grants access to any place,Nobita,Nobita,Daily Life,85,15,No,Often confiscated by adults
ネコ型ロボット育成セット,Cat Robot Kit,190,Raises a robot cat,Nobita,Nobita,Technology,50,50,No,Backfires hilariously
透明マント,Invisibility Cloak,195,Makes wearer invisible,"Nobita, Gian",Nobita,Stealth,75,25,Yes,Wears off after time
ペタリンペーパー,Sticky Paper,200,Sticks objects to surfaces,Nobita,Nobita,Daily Life,90,10,No,Hard to remove once stuck
ウラシマキャンディ,Time Warp Candy,205,Speeds up/slows down time locally,Nobita,Nobita,Time Travel,60,40,No,Causes time paradoxes
分身フォーク,Clone Fork,210,Creates edible clones of food,"Nobita, Gian",Gian,Food,95,5,Yes,Clones taste identical
夢風船,Dream Balloon,215,Flies using happy thoughts,"Nobita, Shizuka",Shizuka,Transportation,80,20,No,Pops if user gets sad
悪魔の彫刻,Devil's Statue,220,Grants wishes with a catch,Nobita,Nobita,Fantasy,30,70,No,Twists wishes dangerously
人間製造機,Human Maker,225,Creates temporary clones,Nobita,Nobita,Technology,40,60,No,Clones rebel often
のび太の0点テスト,Nobita's Zero-Score Test,230,Changes test answers,Nobita,Nobita,Education,10,90,No,Always caught by teacher
恐怖のパンティー,Terror Panties,235,Scares anyone who sees them,Gian,Gian,Prank,99,1,No,Used for bullying
あやとり世界入り,String Portal,240,Enters a world inside string art,"Nobita, Shizuka",Shizuka,Fantasy,70,30,No,Easy to get lost
ロボットがみ,Robot Hair,245,Hair that acts like hands,Nobita,Nobita,Daily Life,65,35,No,Gets tangled often
地震訓練紙,Earthquake Training Paper,250,Simulates earthquakes,Nobita,Nobita,Training,55,45,No,Causes real panic
クモの糸ロープ,Spider Silk Rope,255,Unbreakable sticky rope,"Nobita, Doraemon",Doraemon,Tool,100,0,Yes,Used for climbing
雪ふりざいく,Snow Artist,260,Creates snow sculptures instantly,Suneo,Suneo,Entertainment,95,5,No,Melts quickly
家がロボット,House Robot,265,Turns house into a robot,Nobita's Dad,Nobita,Technology,20,80,No,Chaotic and destructive
ペンシルミサイル,Pencil Missile,270,Pencil that becomes a missile,Nobita,Nobita,Weapon,85,15,No,Used against bullies
人間磁石,Human Magnet,275,Attracts people to user,Nobita,Nobita,Daily Life,50,50,No,Causes unwanted crowds
のび太の恐竜,Nobita's Dinosaur,-,Hatches a pet dinosaur,Nobita,Nobita,Animal,80,20,No,From the movie *Nobita's Dinosaur*
宇宙タマゴ,Space Egg,280,Grows into a spaceship,Nobita,Nobita,Space,90,10,No,Requires care
バードキャップ,Bird Cap,285,Grants ability to fly like a bird,Nobita,Nobita,Transportation,70,30,No,Hard to control
カメレオンクリーム,Chameleon Cream,290,Blends into surroundings,"Nobita, Gian",Gian,Stealth,60,40,No,Washes off easily
悪魔のカード,Devil's Card,295,Grants dark wishes,Nobita,Nobita,Fantasy,25,75,No,Corrupts the user
月面探査セット,Moon Exploration Kit,300,Explores the moon,"Nobita, Doraemon",Nobita,Space,95,5,Yes,From *Doraemon: Nobita's Moon Exploration*
風のバンダナ,Wind Bandana,305,Controls wind direction,Nobita,Nobita,Weather,80,20,No,Causes small tornadoes
雲コントローラー,Cloud Controller,310,Shapes clouds into objects,Suneo,Suneo,Weather,75,25,No,Requires creativity
タイムカメラ,Time Camera,315,Takes photos of past/future,Nobita,Nobita,Time Travel,90,10,No,Limited uses
人間あやつり機,Human Puppeteer,320,Controls others like puppets,Nobita,Nobita,Power,10,90,No,Highly unethical
のろいのカメラ,Cursed Camera,325,Curses photographed subjects,Nobita,Nobita,Fantasy,40,60,No,Backfires often
ジャングルアーム,Jungle Arm,330,Extendable arm for grabbing,Nobita,Nobita,Tool,85,15,Yes,Useful for reaching
影ふみオイル,Shadow Stomp Oil,335,Traps shadows to immobilize,"Nobita, Gian",Gian,Weapon,70,30,No,Wears off after time
お天気ボックス,Weather Box,340,Changes local weather,Nobita,Nobita,Weather,88,12,Yes,Causes unintended storms
コピーリモコン,Copy Remote,345,Duplicates objects,"Nobita, Suneo",Suneo,Technology,60,40,No,Copies degrade over time
逆転イヤリング,Reverse Earrings,350,Reverses words/actions,Nobita,Nobita,Prank,55,45,No,Causes misunderstandings
人間ジオラマ,Human Diorama,355,Shrinks people into dioramas,Nobita,Nobita,Fantasy,50,50,No,Risky if lost
ドラミのポケット,Dorami's Pocket,-,Dorami's 4D pocket,Dorami,Dorami,Special,100,0,Yes,Smaller than Doraemon's
未来の貯金箱,Future Piggy Bank,360,Grows money over time,Nobita,Nobita,Finance,95,5,No,Requires patience
悪魔のサイコロ,Devil's Dice,365,Changes reality based on rolls,Nobita,Nobita,Fantasy,20,80,No,Extremely dangerous
友だちの輪,Friendship Circle,370,Forces friendship bonds,Nobita,Nobita,Social,30,70,No,Unnatural and temporary
タイムカプセル,Time Capsule,375,Sends objects to the future,Nobita,Nobita,Time Travel,85,15,No,Used for time messages
逆転クロック,Reverse Clock,380,Reverses time for 5 minutes,Nobita,Nobita,Time Travel,70,30,No,Causes minor chaos
人間アンテナ,Human Antenna,385,Receives others' thoughts,Nobita,Nobita,Psychic,60,40,No,Overwhelming noise
夢のチャンネル,Dream Channel,390,Watches others' dreams,"Nobita, Shizuka",Shizuka,Entertainment,90,10,No,Invasion of privacy
ウソつきンストック,Lie Stockings,395,Forces wearer to lie,Nobita,Nobita,Prank,100,0,No,Hilarious consequences
運命のパラソル,Fate Umbrella,400,Changes destiny temporarily,Nobita,Nobita,Fantasy,50,50,No,Unpredictable effects
動物語ヘッドホン,Animal Headphones,405,Talks to animals,Nobita,Nobita,Animal,95,5,Yes,From *Doraemon: Nobita's Animal Planet*
宇宙クリーム,Space Cream,410,Creates mini-planets,Nobita,Nobita,Space,80,20,No,Gravity issues
透明インク,Invisible Ink,415,Writes invisible messages,"Nobita, Suneo",Suneo,Daily Life,75,25,No,Reveals under heat
ガンバルール,Effort Rule,420,Forces hard work,Nobita's Mom,Nobita,Training,40,60,No,Nobita hates it
ドラミのタイムマシン,Dorami's Time Machine,-,Cute pink time machine,Dorami,Dorami,Time Travel,100,0,Yes,Faster than Doraemon's
悪魔の契約書,Devil's Contract,425,Grants power for a price,Nobita,Nobita,Fantasy,10,90,No,Extreme consequences
人間ラジコン,Human RC Controller,430,Controls people remotely,Nobita,Nobita,Power,20,80,No,Highly unethical
サファリパークセット,Safari Park Set,435,Creates mini-safari,Nobita,Nobita,Animal,85,15,No,Animals escape often
魔法のランプ,Magic Lamp,440,Genie grants 3 wishes,Nobita,Nobita,Fantasy,30,70,No,Wishes backfire
影のフレーム,Shadow Frame,445,Traps shadows to control others,Gian,Gian,Weapon,65,35,No,Defeated by light
のび太の城,Nobita's Castle,450,Builds a castle instantly,Nobita,Nobita,Construction,90,10,No,From *Nobita's Great Adventure*
四次元くずかご,4D Trash Bin,455,Disposes items into void,Doraemon,Doraemon,Special,100,0,Yes,Irreversible
天気予報ボード,Weather Board,460,Predicts weather,Nobita's Dad,Nobita,Weather,95,5,No,Rarely wrong
タイムベルト,Time Belt,465,Time-travels on a path,Nobita,Nobita,Time Travel,80,20,No,Limited range
超能力チョーク,Psychic Chalk,470,Drawings come to life,Nobita,Nobita,Fantasy,55,45,No,Chaotic creations
人間プラモデル,Human Model Kit,475,Assembles a clone,Nobita,Nobita,Technology,35,65,No,Clones lack common sense
のろいのDVD,Cursed DVD,480,Curses viewers,Nobita,Nobita,Fantasy,45,55,No,Based on horror movies
ドラえもんの耳,Doraemon's Ears,-,Restores Doraemon's ears,Doraemon,Doraemon,Special,99,1,No,Temporary fix
ペット石鹸,Pet Soap,485,Turns objects into pets,Nobita,Nobita,Animal,70,30,No,Pets are mischievous
夢のサイコロ,Dream Dice,490,Changes dreams based on rolls,Nobita,Nobita,Fantasy,60,40,No,Nightmares possible
宇宙クリップ,Space Clip,495,Creates zero-gravity zones,Nobita,Nobita,Space,75,25,No,Floating chaos
悪魔のハンマー,Devil's Hammer,500,Alters object properties,Nobita,Nobita,Power,50,50,No,Unintended changes
タイムドライヤー,Time Dryer,505,Ages objects instantly,Nobita,Nobita,Time Travel,65,35,No,Over-dries things
人間図鑑,Human Encyclopedia,510,Teaches any skill,Nobita,Nobita,Education,85,15,No,Requires effort
ドラミのポンプ,Dorami's Pump,-,Inflates objects to giant size,Dorami,Dorami,Tool,90,10,No,Used in emergencies
未来の新聞,Future Newspaper,515,Reads future events,Nobita's Dad,Nobita,Information,95,5,No,Self-fulfilling prophecies
恐怖の箱,Terror Box,520,Summons user's fears,Nobita,Nobita,Weapon,80,20,No,Traumatizing
風のたてがみ,Wind Mane,525,Controls storms,Nobita,Nobita,Weather,70,30,No,Dangerous power
ロボットの種,Robot Seed,530,Grows a robot plant,Nobita,Nobita,Technology,60,40,No,Robots are unruly
ウソつきボディー,Lie Body,535,Physical lies become real,Nobita,Nobita,Fantasy,40,60,No,Chaotic outcomes
ドラ焼き製造機,Dorayaki Maker,540,Makes infinite dorayaki,Doraemon,Doraemon,Food,100,0,Yes,Doraemon's favorite
タイムスコープ,Time Scope,545,Spy on past/future,Nobita,Nobita,Time Travel,90,10,Yes,No interaction
人間ペーパー,Human Paper,550,Folds into human shapes,Nobita,Nobita,Fantasy,50,50,No,Fragile creations
四次元ポスト,4D Mailbox,555,Sends letters to past/future,Nobita,Nobita,Time Travel,85,15,No,Delivery delays
雲のエアコン,Cloud AC,560,Adjusts cloud temperature,Nobita,Nobita,Weather,75,25,No,Climate side effects
悪魔のレンズ,Devil's Lens,565,Reveals dark truths,Nobita,Nobita,Psychic,30,70,No,Causes paranoia
ドラミのヘリコ,Dorami's Helicopter,-,Mini helicopter propeller,Dorami,Dorami,Transportation,95,5,Yes,Faster than Hopter
夢のレンズ,Dream Lens,570,Projects dreams,Shizuka,Shizuka,Entertainment,80,20,No,Artistic use
人間トランプ,Human Cards,575,Turns people into cards,Nobita,Nobita,Fantasy,45,55,No,Risky to lose cards
タイムカード,Time Card,580,Freezes time briefly,Nobita,Nobita,Time Travel,99,1,No,Overuse causes fatigue
ドラえもんのリボン,Doraemon's Ribbon,-,Grants cat-like agility,Doraemon,Doraemon,Power,90,10,No,Temporary boost
悪魔のパラソル,Devil's Umbrella,585,Curses those underneath,Nobita,Nobita,Fantasy,25,75,No,Irreversible curses
四次元キャンプセット,4D Camping Set,590,Portable pocket dimension,Nobita,Nobita,Survival,95,5,Yes,From *Nobita's Camping*
未来のアルバム,Future Album,595,Photos from the future,Nobita,Nobita,Time Travel,85,15,No,Spoilers!
ドラミのランプ,Dorami's Lamp,-,Mini-genie for small wishes,Dorami,Dorami,Fantasy,70,30,No,Limited power
悪魔のカメラ,Devil's Camera,600,Steals souls in photos,Nobita,Nobita,Fantasy,10,90,No,Extremely dangerous
宇宙ヨット,Space Yacht,605,Sails through space,Nobita,Nobita,Space,80,20,No,From *Space Odyssey*
タイムふうせん,Time Balloon,610,Floats through time,Nobita,Nobita,Time Travel,60,40,No,Unpredictable landing
ドラえもんのポケット,Doraemon's Pocket,-,Access to 4D pocket,Doraemon,Doraemon,Special,100,0,Yes,Infinite storage
悪魔のメガホン,Devil's Megaphone,615,Commands become reality,Nobita,Nobita,Power,15,85,No,Words twist dangerously
四次元たまご,4D Egg,620,Hatches into anything,Nobita,Nobita,Fantasy,50,50,No,Random results
未来の眼鏡,Future Glasses,625,Sees future outcomes,Nobita,Nobita,Information,90,10,No,Overwhelming data
ドラミのバッグ,Dorami's Bag,-,Dorami's gadget storage,Dorami,Dorami,Special,100,0,Yes,Smaller than 4D Pocket
悪魔のサイレン,Devil's Siren,630,Summons disasters,Nobita,Nobita,Weapon,5,95,No,Catastrophic
宇宙のクリップ,Space Clip,635,Creates wormholes,Nobita,Nobita,Space,70,30,No,Unstable
タイムアーム,Time Arm,640,Retrieves objects from time,Nobita,Nobita,Time Travel,80,20,No,Risk of paradoxes
ドラえもんの鈴,Doraemon's Bell,-,Emergency summoning,Nobita,Nobita,Special,100,0,Yes,Last resort
悪魔のダンス,Devil's Dance,645,Forces others to dance,Nobita,Nobita,Prank,30,70,No,Exhausting
四次元キャンバス,4D Canvas,650,Paintings become real,Nobita,Nobita,Art,65,35,No,Art comes to life
未来のラジオ,Future Radio,655,Hears future broadcasts,Nobita,Nobita,Information,85,15,No,Spoilers again!
ドラミのホイッスル,Dorami's Whistle,-,Summons Dorami,Dorami,Dorami,Special,100,0,Yes,Emergency calls
悪魔のトランプ,Devil's Cards,660,Cards alter reality,Nobita,Nobita,Fantasy,20,80,No,Chaos ensues
宇宙のペン,Space Pen,665,Writes in zero-gravity,Nobita,Nobita,Space,95,5,No,NASA-approved!
タイムストッパー,Time Stopper,670,Pauses time,Nobita,Nobita,Time Travel,99,1,No,Brief duration
宇宙探検セット,Space Exploration Set,Nobita's Space Heroes (2008),Explores alien planets,"Nobita, Doraemon",Nobita,Space,90,10,No,From the 2008 movie
進化退化光線,Evolution/Devolution Ray,676,Evolves or devolves lifeforms,Nobita,Nobita,Science,70,30,No,Caused dinosaur chaos in *Nobita's Dinosaur*
地球破壊爆弾,Earth Destruction Bomb,Nobita's Great Adventure (1982),Theoretical doomsday device,Doraemon,Doraemon,Weapon,0,100,No,Never actually used
時空振動機,Space-Time Vibrator,Nobita's Little Star Wars (1985),Alters space-time,Nobita,Nobita,Time Travel,40,60,No,Extremely dangerous
植物改造液,Plant Modifier Fluid,681,Creates sentient plants,Nobita,Nobita,Science,60,40,No,Plants rebel often
ロボット改造セット,Robot Modification Kit,Nobita and the Steel Troops (1986),Upgrades robots,Nobita,Nobita,Technology,80,20,No,Key plot gadget in *Steel Troops*
海底鬼ヶ城ロボット,Undersea Demon Castle Robot,Nobita's Great Adventure (1982),Giant underwater robot,Nobita,Nobita,Weapon,95,5,No,Movie-exclusive
のび太の創世日記,Nobita's Creation Diary,Nobita's Genesis Diary (1995),Creates a micro-universe,Nobita,Nobita,Fantasy,50,50,No,Ethically questionable
魔法大百科,Magic Encyclopedia,Nobita's Magical Adventure (1996),Teaches real magic,Nobita,Nobita,Fantasy,30,70,No,Spells backfire
タイムマシン（未来買い物用）,Time Machine (Future Shopping),-,Orders items from the future,Doraemon,Doraemon,Time Travel,100,0,Yes,Used for gadget resupply
悪魔のパスポート（映画版）,Devil's Passport (Movie),Nobita's Demon (1982),Ultimate wish-granting,Nobita,Nobita,Fantasy,10,90,No,Corrupts the user
雲の王国建設キット,Cloud Kingdom Kit,Nobita and the Kingdom of Clouds (1992),Builds floating cities,Nobita,Nobita,Construction,85,15,No,From the 1992 movie
動物惑星改造装置,Animal Planet Device,Nobita's Animal Planet (1990),Terraforms planets,Nobita,Nobita,Space,75,25,No,Creates habitable worlds
のび太の恐竜（映画版）,Nobita's Dinosaur (Movie),Nobita's Dinosaur (1980),Hatches a pet dinosaur,Nobita,Nobita,Animal,100,0,No,Plesiosaur named 'Pisuke'
鉄人兵団製造機,Iron Troop Maker,Nobita and the Steel Troops (1986),Mass-produces robots,Nobita,Nobita,Technology,20,80,No,Caused robot uprising
夢の町創造セット,Dream Town Creator,Nobita's Dream Town (1996),Designs custom towns,Nobita,Nobita,Construction,90,10,No,From the 1996 movie
海底ハイウェイ,Undersea Highway,Nobita's Undersea Castle (1983),Underwater road system,Nobita,Nobita,Transportation,95,5,No,Movie-exclusive
宇宙救命ボート,Space Lifeboat,Nobita's Space Heroes (2008),Emergency escape pod,Nobita,Nobita,Space,100,0,No,Used in climax
タイムパトロール装備,Time Patrol Gear,Nobita's Dinosaur (2006 remake),Time police equipment,Doraemon,Doraemon,Time Travel,99,1,No,From the 2006 remake
竜のクレヨン,Dragon Crayon,Nobita's Dragon (1991),Drawings become dragons,Nobita,Nobita,Fantasy,60,40,No,Dragons are unpredictable
